M,N,K,AverageTimeMs,ThroughputTOPS
256,2560,2560,0.022864,146.757
256,3840,2560,0.0306016,164.474
256,13824,2560,0.0631648,286.859
256,2560,6912,0.0420384,215.51

512,2560,2560,0.0307008,218.59
512,3840,2560,0.051968,193.702
512,13824,2560,0.108762,333.195
512,2560,6912,0.0624064,290.345

1024,2560,2560,0.0523424,256.423
1024,3840,2560,0.0766816,262.549
1024,13824,2560,0.197382,367.194
1024,2560,6912,0.117414,308.64

2048,2560,2560,0.0830496,323.223
2048,3840,2560,0.121926,330.243
2048,13824,2560,0.376186,385.329
2048,2560,6912,0.188595,384.302

4096,2560,2560,0.148621,361.235
4096,3840,2560,0.21736,370.494
4096,13824,2560,0.725699,399.491
4096,2560,6912,0.365568,396.52

8192,2560,2560,0.284515,377.393
8192,3840,2560,0.413395,389.606
8192,13824,2560,1.41532,409.674
8192,2560,6912,0.700723,413.73

